公司,簡稱,年/月,季別,月份,資產總額,負債總額,ROE－綜合損益,流動負債,股東權益總額,營收成長率,交易所主產業代碼
1101   ,台泥         ,201003,1,03,   105704756,    25214357,           -,     7289895,    80490399,        5.32,M1100       
1102   ,亞泥         ,201003,1,03,   109454061,    35083759,           -,    10679782,    74370302,       -4.41,M1100       
1103   ,嘉泥         ,201003,1,03,    23707331,     7845702,           -,     1836206,    15861629,      -23.38,M1100       
1104   ,環泥         ,201003,1,03,    16340397,     4171184,           -,      871229,    12169213,       -1.30,M1100       
1107   ,建台         ,201003,1,03,     6307202,     7473445,           -,     6763527,    -1166243,       21.72,M9900       
1108   ,幸福         ,201003,1,03,     7928896,     3609864,           -,     2061350,     4319032,       10.63,M1100       
1109   ,信大         ,201003,1,03,     6626502,      537505,           -,      195547,     6088997,      -12.04,M1100       
1110   ,東泥         ,201003,1,03,     9534987,     1238090,           -,      465942,     8296897,      -18.47,M1100       
1101   ,台泥         ,201006,2,06,   102512720,    27072262,           -,    10832217,    75440458,        4.54,M1100       
1102   ,亞泥         ,201006,2,06,   112138605,    41855217,           -,    16115701,    70283388,       -9.24,M1100       
1103   ,嘉泥         ,201006,2,06,    22413516,     8464493,           -,     1962103,    13949023,      -19.04,M1100       
1104   ,環泥         ,201006,2,06,    16942342,     4502128,           -,     1255370,    12440214,       -4.33,M1100       
1107   ,建台         ,201006,2,06,     6276106,     7531506,           -,     6817055,    -1255400,       10.31,M9900       
1108   ,幸福         ,201006,2,06,     7965249,     3772257,           -,     2241290,     4192992,       -2.21,M1100       
1109   ,信大         ,201006,2,06,     6626889,      658080,           -,      307100,     5968809,      -20.14,M1100       
1110   ,東泥         ,201006,2,06,     9519289,     1329001,           -,      573314,     8190288,      -13.87,M1100       
1101   ,台泥         ,201009,3,09,   104312482,    22721924,           -,     4970265,    81590558,        3.97,M1100       
1102   ,亞泥         ,201009,3,09,   105501137,    29935596,           -,     3792874,    75565541,       -8.84,M1100       
1103   ,嘉泥         ,201009,3,09,    24368215,     8567792,           -,     1422166,    15800423,      -16.73,M1100       
1104   ,環泥         ,201009,3,09,    17029184,     4247729,           -,     1065646,    12781455,       -5.98,M1100       
1107   ,建台         ,201009,3,09,     6253548,     7599306,           -,     6887806,    -1345758,       -2.52,M9900       
1108   ,幸福         ,201009,3,09,     7859471,     3721138,           -,     2144157,     4138333,       -3.34,M1100       
1109   ,信大         ,201009,3,09,     6467998,      512218,           -,      154811,     5955780,      -16.98,M1100       
1110   ,東泥         ,201009,3,09,     9485878,     1262417,           -,      521084,     8223461,      -16.13,M1100       
1101   ,台泥         ,201012,4,12,   116546188,    21625117,           -,    14224503,    94921071,        5.71,M1100       
1102   ,亞泥         ,201012,4,12,   110088906,    31447887,           -,     4980039,    78641019,       -5.53,M1100       
1103   ,嘉泥         ,201012,4,12,    24343864,     8470212,           -,     1450537,    15873652,      -11.54,M1100       
1104   ,環泥         ,201012,4,12,    16757606,     4162487,           -,     1275056,    12595119,       -3.81,M1100       
1107   ,建台         ,201012,4,12,     6104523,     7546721,           -,     6835189,    -1442198,      131.51,M9900       
1108   ,幸福         ,201012,4,12,     7797018,     3690868,           -,     2139047,     4106150,       -2.26,M1100       
1109   ,信大         ,201012,4,12,     6432306,      551270,           -,      188248,     5881036,      -11.50,M1100       
1110   ,東泥         ,201012,4,12,     9464418,     1250357,           -,      556639,     8214061,      -11.63,M1100       
1101   ,台泥         ,201103,1,03,   109759901,     9861171,           -,     4491267,    99898730,        5.75,M1100       
1102   ,亞泥         ,201103,1,03,   113949990,    32043928,           -,     4840422,    81906062,        0.03,M1100       
1103   ,嘉泥         ,201103,1,03,    26842527,     8475196,           -,     2519365,    18367331,       -7.35,M1100       
1104   ,環泥         ,201103,1,03,    16825038,     3918438,           -,     1500790,    12906600,       15.07,M1100       
1107   ,建台         ,201103,1,03,     6063099,     7604064,           -,     6882105,    -1540965,      -23.85,M9900       
1108   ,幸福         ,201103,1,03,     7771071,     3746244,           -,     2313898,     4024827,       11.29,M1100       
1109   ,信大         ,201103,1,03,     6399319,      535717,           -,      173498,     5863602,        2.70,M1100       
1110   ,東泥         ,201103,1,03,     9351922,     1068745,           -,      384391,     8283177,        3.18,M1100       
1101   ,台泥         ,201106,2,06,   113331455,    16282041,           -,    10959628,    97049414,       10.43,M1100       
1102   ,亞泥         ,201106,2,06,   122618081,    42002067,           -,    10849820,    80616014,        6.85,M1100       
1103   ,嘉泥         ,201106,2,06,    28016688,     8519617,           -,     2542115,    19497071,      -36.37,M1100       
1104   ,環泥         ,201106,2,06,    16641606,     4196915,           -,     1662669,    12444691,        8.09,M1100       
1107   ,建台         ,201106,2,06,     5975877,     7650346,           -,     6926932,    -1674469,      -27.01,M9900       
1108   ,幸福         ,201106,2,06,     7744015,     3763222,           -,     2374934,     3980793,       17.62,M1100       
1109   ,信大         ,201106,2,06,     6435329,      669586,           -,      307676,     5765743,       26.39,M1100       
1110   ,東泥         ,201106,2,06,     9515490,     1194703,           -,      520052,     8320787,        3.87,M1100       
1101   ,台泥         ,201109,3,09,   105060177,    11281621,           -,     5984229,    93778556,        9.58,M1100       
1102   ,亞泥         ,201109,3,09,   115221798,    35251213,           -,     2997854,    79970585,       14.07,M1100       
1103   ,嘉泥         ,201109,3,09,    24959783,     8990303,           -,     3343479,    15969480,      -54.21,M1100       
1104   ,環泥         ,201109,3,09,    15316722,     2949087,           -,      855171,    12367635,        8.67,M1100       
1107   ,建台         ,201109,3,09,     5940827,     7702023,           -,     6973822,    -1761196,      -23.50,M9900       
1108   ,幸福         ,201109,3,09,     7795825,     3741194,           -,     2478405,     4054631,       18.25,M1100       
1109   ,信大         ,201109,3,09,     6407939,      547028,           -,      185642,     5860911,       24.37,M1100       
1110   ,東泥         ,201109,3,09,     9259069,     1019290,           -,      355991,     8239779,       -0.97,M1100       
1101   ,台泥         ,201112,4,12,   108064151,    11280306,           -,     5970302,    96783845,        8.84,M1100       
1102   ,亞泥         ,201112,4,12,   123243525,    36873455,           -,     2612903,    86370070,       11.38,M1100       
1103   ,嘉泥         ,201112,4,12,    24119087,     8443452,           -,     2745985,    15675635,      -56.12,M1100       
1104   ,環泥         ,201112,4,12,    14812478,     1943177,           -,      634575,    12869301,        5.78,M1100       
1107   ,建台         ,201112,4,12,     6038362,     7739070,           -,     7020210,    -1700708,      -66.52,M9900       
1108   ,幸福         ,201112,4,12,     7823751,     3711367,           -,     1993221,     4112384,       15.76,M1100       
1109   ,信大         ,201112,4,12,     6500095,      566113,           -,      205620,     5933982,       22.48,M1100       
1110   ,東泥         ,201112,4,12,     9293742,     1121069,           -,      481410,     8172673,       -0.38,M1100       
1101   ,台泥         ,201203,1,03,   107742951,     8915442,           -,     3595448,    98827509,       -4.57,M1100       
1102   ,亞泥         ,201203,1,03,   124763698,    36739484,           -,     4968541,    88024214,       14.05,M1100       
1103   ,嘉泥         ,201203,1,03,    24768219,     8500379,           -,     2669838,    16267840,      -36.39,M1100       
1104   ,環泥         ,201203,1,03,    15071815,     1983466,           -,      672276,    13088349,        0.48,M1100       
1107   ,建台         ,201203,1,03,     6016727,     7790972,           -,     7072036,    -1774245,      -14.11,M9900       
1108   ,幸福         ,201203,1,03,     7809112,     3578495,           -,     1787728,     4230617,        4.07,M1100       
1109   ,信大         ,201203,1,03,     6555495,      638188,           -,      278411,     5917307,       24.85,M1100       
1110   ,東泥         ,201203,1,03,     9163574,      828685,           -,      378827,     8334889,        8.21,M1100       
1101   ,台泥         ,201206,2,06,   112213937,    19439059,           -,    14106049,    92774878,       -3.52,M1100       
1102   ,亞泥         ,201206,2,06,   125323946,    44420521,           -,    12523350,    80903425,        9.75,M1100       
1103   ,嘉泥         ,201206,2,06,    23613683,     9316113,           -,     3048942,    14297570,        3.31,M1100       
1104   ,環泥         ,201206,2,06,    15273101,     2335948,           -,     1022335,    12937153,       -0.54,M1100       
1107   ,建台         ,201206,2,06,     5932757,     7793840,           -,     7071896,    -1861083,      -11.15,M9900       
1108   ,幸福         ,201206,2,06,     7792762,     3600512,           -,     1836728,     4192250,        2.63,M1100       
1109   ,信大         ,201206,2,06,     6504655,      716905,           -,      357688,     5787750,       12.71,M1100       
1110   ,東泥         ,201206,2,06,     9131979,      811159,           -,      374045,     8320820,        0.27,M1100       
1101   ,台泥         ,201209,3,09,   112042034,    15909166,           -,    10558097,    96132868,       -1.93,M1100       
1102   ,亞泥         ,201209,3,09,   121429460,    38853694,           -,    10744285,    82575766,        8.36,M1100       
1103   ,嘉泥         ,201209,3,09,    22624991,     9175028,           -,     1388171,    13449963,       43.10,M1100       
1104   ,環泥         ,201209,3,09,    15047852,     1918811,           -,      607091,    13129041,        0.46,M1100       
1108   ,幸福         ,201209,3,09,     7628987,     3395467,           -,     1708238,     4233520,        0.04,M1100       
1109   ,信大         ,201209,3,09,     6297910,      550275,           -,      192758,     5747635,       14.62,M1100       
1110   ,東泥         ,201209,3,09,     9224333,      840306,           -,      414810,     8384027,        9.56,M1100       
1101   ,台泥         ,201212,4,12,   121304752,    15342942,       10.09,     9857539,   105961810,       -1.11,M1100       
1102   ,亞泥         ,201212,4,12,   168229918,    40180226,        4.34,    10778457,   128049692,        8.20,M1100       
1103   ,嘉泥         ,201212,4,12,    23277417,     9198143,       -9.48,     1204227,    14079274,       46.37,M1100       
1104   ,環泥         ,201212,4,12,    15156269,     2082819,        5.42,      675439,    13073450,        3.80,M1100       
1107   ,建台         ,201212,4,12,     5856462,     7869385,           -,     7161548,    -2012923,      -15.85,M9900       
1108   ,幸福         ,201212,4,12,     7762892,     3539557,        2.60,     1791538,     4223335,        6.26,M1100       
1109   ,信大         ,201212,4,12,     6546490,      570280,        1.67,      270930,     5976210,       11.29,M1100       
1110   ,東泥         ,201212,4,12,     9199958,      825223,        2.68,      395401,     8374735,       13.29,M1100       
1107   ,建台         ,201306,2,06,     5798252,     7975105,           -,     7260487,    -2176853,      -30.01,M9900       
1101   ,台泥         ,201312,4,12,   135942062,    22864117,       13.09,     3357947,   113077945,       -4.09,M1100       
1102   ,亞泥         ,201312,4,12,   184745047,    50296928,        9.21,    23929318,   134448119,        4.54,M1100       
1103   ,嘉泥         ,201312,4,12,    27827303,     8745212,       30.12,     2220585,    19082091,        2.96,M1100       
1104   ,環泥         ,201312,4,12,    16970422,     2604343,       12.69,     1211009,    14366079,        8.69,M1100       
1107   ,建台         ,201312,4,12,     5752085,     8100052,           -,     7379218,    -2347967,      -14.94,M9900       
1108   ,幸福         ,201312,4,12,     7485158,     3095660,        3.97,     1540454,     4389498,       13.19,M1100       
1109   ,信大         ,201312,4,12,     6772216,      625662,        5.45,      308657,     6146554,       12.76,M1100       
1110   ,東泥         ,201312,4,12,     9394934,      714440,        4.25,      339723,     8680494,       23.84,M1100       
1107   ,建台         ,201406,2,06,     2299633,     4936514,           -,     4210351,    -2636881,     2078.45,M9900       
1101   ,台泥         ,201412,4,12,   143120622,    25161752,       11.55,     5616776,   117958870,       -5.73,M1100       
1102   ,亞泥         ,201412,4,12,   188039395,    46205831,        9.61,    13024234,   141833564,        0.83,M1100       
1103   ,嘉泥         ,201412,4,12,    25897074,     8543111,       -5.42,     2250704,    17353963,        4.37,M1100       
1104   ,環泥         ,201412,4,12,    18591448,     2949171,       12.11,     1550028,    15642277,       16.36,M1100       
1107   ,建台         ,201412,4,12,     5834789,     5056888,       46.80,     4281493,      777901,      882.33,M9900       
1108   ,幸福         ,201412,4,12,     7465950,     2881328,        8.70,     1526544,     4584622,        6.63,M1100       
1109   ,信大         ,201412,4,12,     6580832,      612521,        5.40,      305278,     5968311,        4.21,M1100       
1110   ,東泥         ,201412,4,12,     9493891,      669023,        2.95,      289060,     8824868,        2.65,M1100       
1101   ,台泥         ,201512,4,12,   135684550,    27641565,       -0.71,    11719056,   108042985,       -4.36,M1100       
1102   ,亞泥         ,201512,4,12,   189678805,    53779932,        0.97,    23780564,   135898873,       -3.08,M1100       
1103   ,嘉泥         ,201512,4,12,    19091464,     6715640,      -32.02,      814760,    12375824,        2.73,M1100       
1104   ,環泥         ,201512,4,12,    19220675,     3370731,        5.10,     1976849,    15849944,       -8.54,M1100       
1107   ,建台         ,201512,4,12,     6071888,     5707728,      -72.46,     4428830,      364160,      -99.48,M9900       
1108   ,幸福         ,201512,4,12,     7206499,     2394649,       10.01,     1550013,     4811850,        1.34,M1100       
1109   ,信大         ,201512,4,12,     6085452,      664359,       -0.67,      364627,     5421093,       -3.06,M1100       
1110   ,東泥         ,201512,4,12,     9276760,      671530,       -1.21,      386200,     8605230,      -10.63,M1100       
1101   ,台泥         ,201612,4,12,   132459558,    25691507,        2.24,    13036677,   106768051,      -16.28,M1100       
1102   ,亞泥         ,201612,4,12,   171342906,    48679829,       -7.39,     8016448,   122663077,      -17.44,M1100       
1103   ,嘉泥         ,201612,4,12,    19901533,     5797752,       13.55,     1197923,    14103781,       -9.48,M1100       
1104   ,環泥         ,201612,4,12,    19654144,     3389541,        6.50,     2120100,    16264603,       -7.76,M1100       
1107   ,建台         ,201612,4,12,     6188686,     6119698,     -136.29,     4839898,       68988,       -2.55,M9900       
1108   ,幸福         ,201612,4,12,     7143274,     2371579,        6.34,     2087743,     4771695,      -15.52,M1100       
1109   ,信大         ,201612,4,12,     6131339,      724373,        1.14,      429697,     5406966,      -14.34,M1100       
1110   ,東泥         ,201612,4,12,     9037469,      529865,        0.19,      237870,     8507604,      -20.33,M1100       
1101   ,台泥         ,201712,4,12,   162688728,    26340524,       14.62,    20929218,   136348204,       -5.83,M1100       
1102   ,亞泥         ,201712,4,12,   179845698,    52410133,        6.31,    15051567,   127435565,      -17.45,M1100       
1103   ,嘉泥         ,201712,4,12,    23005903,     5494117,       22.38,     1421867,    17511786,       -8.58,M1100       
1104   ,環泥         ,201712,4,12,    20500448,     3463545,        9.21,     2224308,    17036903,       -4.46,M1100       
1108   ,幸福         ,201712,4,12,     6458295,     2056176,       -2.76,     1717161,     4402119,      -15.69,M1100       
1109   ,信大         ,201712,4,12,     6197707,      534734,        8.73,      270396,     5662973,       -7.82,M1100       
1110   ,東泥         ,201712,4,12,     9278354,      738196,        1.03,      437108,     8540158,       -1.57,M1100       
1101   ,台泥         ,201812,4,12,   263459983,    81918473,       11.48,    18483895,   181541510,        4.71,M1100       
1102   ,亞泥         ,201812,4,12,   192831098,    54938872,        9.66,    17648284,   137892226,        6.66,M1100       
1103   ,嘉泥         ,201812,4,12,    25109134,     6089322,        7.58,     1600289,    19019812,        2.63,M1100       
1104   ,環泥         ,201812,4,12,    21779052,     4063731,        4.15,     2853848,    17715321,        9.85,M1100       
1108   ,幸福         ,201812,4,12,     6547650,     2320730,       -3.99,     1548661,     4226920,       -4.97,M1100       
1109   ,信大         ,201812,4,12,     6757585,      515384,       13.36,      292483,     6242201,       -3.55,M1100       
1110   ,東泥         ,201812,4,12,     9178593,      694923,        0.66,      395506,     8483670,        7.36,M1100       
1101   ,台泥         ,201912,4,12,   288875961,    95191893,       15.55,    20510314,   193684068,       12.62,M1100       
1102   ,亞泥         ,201912,4,12,   203940499,    57873141,       12.43,    16273235,   146067358,        2.91,M1100       
1103   ,嘉泥         ,201912,4,12,    30467352,     7653910,       20.68,     2110520,    22813442,        3.76,M1100       
1104   ,環泥         ,201912,4,12,    22424027,     4440570,        5.33,     3240529,    17983457,        7.35,M1100       
1108   ,幸福         ,201912,4,12,     6465559,     2144699,        2.20,     1319757,     4320860,        4.30,M1100       
1109   ,信大         ,201912,4,12,     7345235,      526718,       13.01,      346289,     6818517,        3.66,M1100       
1110   ,東泥         ,201912,4,12,     9626985,     1102810,        1.15,      618549,     8524175,        0.68,M1100       
