title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Kill the Scream Queen,2004,74,5000,1.3,5,44.5,44.5,0,0,0,0,0,0,24.5,0,,0,0,0,0,0,0,0
Como Ser Solteiro,1998,95,NA,7.2,95,24.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,24.5,,0,0,1,0,0,0,0
Kampf um Rom II - Der Verrat,1969,84,NA,6.4,21,4.5,0,0,0,34.5,4.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
28 minuti per 3 milioni di dollari,1967,90,NA,3.9,6,0,14.5,0,0,14.5,14.5,14.5,0,0,34.5,,0,0,0,0,0,0,0
Kochankowie mojej mamy,1986,81,NA,6.8,15,0,4.5,0,0,14.5,4.5,24.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
Un crime au paradis,2001,89,NA,6.4,334,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
"Wild McCullochs, The",1975,93,NA,4.4,29,24.5,4.5,14.5,0,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Eskimo Nell,1975,85,NA,4.7,19,4.5,24.5,0,14.5,14.5,14.5,24.5,14.5,0,4.5,,0,0,1,0,0,0,0
Voditel dlya Very,2004,105,3300000,7.7,182,4.5,0,4.5,0,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
Full Blast,1997,91,NA,5.9,19,14.5,4.5,0,4.5,14.5,14.5,14.5,0,0,34.5,,1,0,0,0,0,0,0
"Goldbergs, The",1950,83,NA,3.4,12,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,0,14.5,,0,0,1,0,0,0,0
Beyond the Purple Hills,1950,69,NA,6.1,12,0,0,0,0,34.5,45.5,4.5,4.5,0,0,,0,0,0,0,0,0,0
Las que tienen que servir,1967,83,NA,3.9,20,4.5,14.5,24.5,14.5,14.5,14.5,4.5,0,4.5,24.5,,0,0,1,0,0,0,0
Chaindance,1990,109,NA,6.1,81,4.5,0,4.5,0,4.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
Ni neibian jidian,2001,116,NA,7.2,668,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
Frankenhooker,1990,85,2500000,5,520,4.5,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
"Ni vu, ni connu",1958,95,NA,7.2,62,0,0,0,4.5,4.5,4.5,14.5,14.5,34.5,24.5,,0,0,1,0,0,0,0
Kruimeltje,1999,119,5000000,6.7,224,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Kino-pravda,1925,30,NA,6.3,14,0,0,0,4.5,14.5,24.5,34.5,4.5,0,14.5,,0,0,0,0,0,0,1
Swashbuckler,1976,101,NA,5.5,277,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
"Wilby Conspiracy, The",1975,102,NA,6.4,182,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
Red Betsy,2003,98,NA,7.1,44,4.5,14.5,4.5,0,4.5,4.5,14.5,14.5,14.5,24.5,PG,0,0,0,1,0,1,0
Einstein's Playground,2003,17,NA,5,17,0,4.5,0,14.5,4.5,14.5,0,4.5,14.5,34.5,,0,0,0,0,0,0,1
Innsmouth Legacy,2004,10,1000,6.4,8,24.5,0,14.5,0,0,0,0,24.5,0,34.5,,0,0,0,1,0,0,1
"Flesh Eaters, The",1964,87,NA,5.1,70,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
South of Reno,1988,97,NA,3.6,32,14.5,14.5,4.5,14.5,14.5,0,14.5,4.5,0,24.5,,0,0,0,1,0,0,0
Rawhide,1951,87,NA,6.7,144,0,0,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Romeo and Juliet,1966,124,NA,6.3,49,4.5,0,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
Crossroads,1986,96,NA,6.3,1489,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Life Is Cheap... But Toilet Paper Is Expensive,1989,89,NA,5.1,31,4.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Cool Runnings,1993,98,NA,6.3,7593,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
"Destino no tiene favoritos, El",2003,90,NA,8,22,0,0,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,0,0,1,0
Comedy's Dirtiest Dozen,1988,97,NA,4.6,39,14.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,4.5,24.5,,0,0,1,0,0,0,0
Amplifier,1999,10,NA,5.3,29,14.5,0,0,14.5,4.5,4.5,24.5,14.5,14.5,24.5,,0,0,0,0,0,0,1
Night Time in Nevada,1948,67,NA,5.7,6,0,0,0,0,14.5,34.5,14.5,0,14.5,14.5,,0,0,0,0,0,0,0
Evil Alien Conquerors,2002,89,500000,3.8,111,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,0,0
She Couldn't Take It,1935,77,NA,7.9,6,0,0,0,0,14.5,0,14.5,34.5,34.5,0,,0,0,1,0,0,0,0
"Island of Dr. Moreau, The",1996,99,40000000,4,5983,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,0,0,0,0,0
"Line King: The Al Hirschfeld Story, The",1996,86,NA,7.2,60,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,4.5,24.5,,0,0,0,0,1,0,0
Jesse James Rides Again,1947,180,NA,6.9,12,0,4.5,0,4.5,4.5,4.5,24.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Victor/Victoria,1982,132,NA,7.3,3487,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,1,0
"War Lover, The",1962,105,NA,6.3,150,4.5,0,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Notre Dame de la Croisette,1981,53,NA,5.5,11,4.5,4.5,4.5,14.5,0,0,24.5,4.5,0,14.5,,0,0,0,1,1,0,0
I Love You Again,1940,99,NA,7.4,276,0,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,14.5,,0,0,1,1,0,0,0
Maciste all'inferno,1962,88,NA,4.1,47,4.5,14.5,4.5,14.5,14.5,24.5,4.5,4.5,0,14.5,,0,0,0,0,0,0,0
"Periwig-Maker, The",1999,15,NA,6.9,116,4.5,4.5,0,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,1,0,1,0,0,1
They Went That-A-Way & That-A-Way,1979,95,NA,3.9,50,4.5,4.5,24.5,14.5,4.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Jerry and Jumbo,1953,7,NA,7.3,33,4.5,4.5,0,0,4.5,4.5,34.5,24.5,4.5,4.5,,0,1,1,0,0,0,1
"Bug Parade, The",1941,6,NA,5.9,11,0,0,0,0,34.5,4.5,34.5,4.5,0,4.5,,0,1,1,0,0,0,1
Aller simple pour Manhattan,2002,78,NA,7.4,29,14.5,4.5,0,4.5,0,4.5,24.5,34.5,0,24.5,,0,0,1,1,0,1,0
Seraglio,2000,14,NA,6.8,34,14.5,4.5,0,0,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,1,0,0,1,1
Escape in the Fog,1945,65,NA,6.3,17,0,0,4.5,14.5,14.5,24.5,14.5,14.5,0,0,,0,0,0,1,0,0,0
Yellowstone,1994,32,NA,6.4,24,14.5,0,4.5,4.5,24.5,4.5,24.5,4.5,4.5,4.5,,0,0,0,0,1,0,1
Stop the World: I Want to Get Off,1966,100,NA,5.3,32,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
Lazy Sunday Afternoon,1999,10,NA,5.5,13,0,0,0,4.5,34.5,0,34.5,14.5,0,4.5,,0,1,0,0,0,0,1
Joyride,1996,93,NA,5.3,341,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,1,0,0,0
Cul de Sac: A Suburban War Story,2002,55,NA,6.2,24,4.5,0,4.5,4.5,0,4.5,24.5,24.5,14.5,14.5,,0,0,0,0,1,0,0
Joe,1970,102,106000,6.6,361,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Jackals,1986,97,NA,4.8,31,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
Macumba Love,1960,86,NA,3.4,12,14.5,4.5,14.5,14.5,4.5,4.5,4.5,0,0,14.5,,0,0,0,0,0,0,0
"Cielo cade, Il",2000,102,NA,5.6,79,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,14.5,,0,0,0,1,0,0,0
Beyond Reason,1977,88,NA,4.3,15,24.5,4.5,4.5,24.5,0,24.5,0,4.5,4.5,4.5,,0,0,0,1,0,0,0
"Grito en el cielo, El",1998,101,NA,7,44,4.5,4.5,4.5,4.5,14.5,14.5,4.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
"Aria serena dell'ovest, L'",1990,110,NA,6.3,32,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,,0,0,1,0,0,0,0
Dupont-Lajoie,1975,100,NA,7.4,98,0,4.5,0,4.5,4.5,14.5,24.5,24.5,24.5,4.5,,0,0,0,1,0,0,0
Pals of the Saddle,1938,55,NA,4.4,50,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Johnny cien pesos,1993,90,NA,6.7,111,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,,1,0,0,1,0,0,0
"Souvenirs des Herrn X, Die",2004,102,NA,7.3,8,14.5,0,0,0,0,0,14.5,24.5,0,45.5,,0,0,0,0,1,0,0
"Taming of Rebecca, The",1982,76,NA,4.9,8,0,14.5,0,0,0,0,14.5,14.5,24.5,34.5,,0,0,0,0,0,0,0
Bimbo's Express,1931,7,NA,6,8,0,0,0,0,34.5,34.5,14.5,14.5,0,0,,0,1,0,0,0,0,1
Lionheart,1990,105,2500000,5.1,2123,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
Hollywood Extra Girl,1935,11,NA,5.9,13,0,0,0,4.5,4.5,45.5,4.5,24.5,0,0,,0,0,0,0,1,0,1
"Tattooed Stranger, The",1950,64,124000,6.5,61,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Tomo,2003,20,NA,7.9,10,0,0,0,0,14.5,0,24.5,44.5,34.5,0,,0,0,0,0,0,0,1
Circuit,1995,20,NA,6.4,5,24.5,0,0,0,0,24.5,24.5,24.5,0,24.5,,0,0,0,0,0,0,1
Ayam El-Sadat,2001,165,NA,7.2,42,0,0,0,4.5,4.5,4.5,24.5,14.5,14.5,44.5,,1,0,0,1,0,0,0
Riddles of the Sphinx,1977,92,NA,5.5,8,14.5,24.5,0,0,0,14.5,24.5,0,14.5,14.5,,0,0,0,0,0,0,0
Mughal-E-Azam,1960,173,NA,6.9,138,4.5,0,0,0,0,4.5,4.5,14.5,14.5,64.5,,0,0,0,1,0,1,0
"Psychopath, The",1975,84,NA,4.2,16,4.5,14.5,0,0,14.5,14.5,24.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
De Artificiali Perspectiva,1991,15,NA,7.7,47,0,0,4.5,0,4.5,4.5,24.5,24.5,14.5,24.5,,0,0,0,0,0,0,1
Worse,2003,13,NA,7.8,6,0,0,0,0,14.5,0,14.5,34.5,14.5,14.5,,0,0,0,1,0,0,1
Toy Soldiers,1999,7,NA,6.1,47,0,4.5,4.5,4.5,4.5,24.5,14.5,14.5,14.5,4.5,,0,0,1,0,0,0,1
T.N.T. Jackson,1975,72,NA,3.7,63,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
South Sea Woman,1953,99,NA,6.2,39,4.5,0,0,4.5,4.5,34.5,14.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
Gentleman's Bet,1995,90,NA,5.8,29,4.5,4.5,14.5,14.5,4.5,4.5,14.5,14.5,0,34.5,R,0,0,0,1,0,0,0
Man in the Wilderness,1971,104,NA,6.3,203,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
Coil Winding Machines,1904,2,NA,3.6,13,4.5,14.5,4.5,34.5,14.5,4.5,4.5,0,0,0,,0,0,0,0,0,0,1
Trick or Tweet,1959,7,NA,6.6,17,0,0,0,0,24.5,14.5,34.5,14.5,0,14.5,,0,1,1,0,0,0,1
"Devil's Triangle, The",1974,52,NA,5.8,28,14.5,4.5,4.5,0,24.5,14.5,4.5,14.5,14.5,14.5,,0,0,0,0,1,0,0
Ever After,1998,121,26000000,7,10250,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG,0,0,1,1,0,1,0
Louvre Come Back to Me!,1962,6,NA,7.2,34,0,4.5,0,0,4.5,24.5,14.5,14.5,14.5,24.5,,0,1,1,0,0,0,1
Girl on the Run,1958,77,NA,7.7,10,0,0,0,0,14.5,14.5,14.5,0,14.5,64.5,,0,0,0,1,0,0,0
Bucking Broncho,1894,1,NA,4.6,30,0,0,24.5,24.5,14.5,14.5,24.5,4.5,0,0,,0,0,0,0,1,0,1
"Pecador impecable, El",1987,87,NA,4.9,6,0,0,0,14.5,34.5,14.5,34.5,0,0,0,,0,0,1,0,0,0,0
Obsession,1976,94,1400000,6.9,924,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Cologne,2004,20,NA,7.9,12,0,0,0,0,14.5,4.5,44.5,14.5,0,14.5,,0,0,0,0,0,0,1
"Inventing Grace, Touching Glory",2003,84,NA,7.3,11,4.5,0,0,0,4.5,0,14.5,34.5,14.5,4.5,,0,0,0,0,1,0,0
"Petit poucet, Le",2001,91,NA,5.4,215,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Blondie Goes Latin,1941,72,NA,6.2,36,0,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,4.5,,0,0,1,0,0,0,0
Fake ID,2003,86,100000,3.6,41,4.5,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
They Eat Scum,1979,73,NA,2.1,20,14.5,4.5,4.5,4.5,0,4.5,0,14.5,14.5,44.5,,0,0,0,0,0,0,0
Public Cowboy No. 1,1937,53,NA,6.6,15,0,4.5,0,0,14.5,14.5,24.5,24.5,14.5,0,,0,0,0,0,0,0,0
Golden Apples of the Sun,1973,80,NA,1.8,29,64.5,24.5,4.5,0,0,0,4.5,0,0,4.5,,0,0,0,1,0,0,0
Young Bride,1932,76,NA,5.9,39,0,4.5,4.5,4.5,4.5,14.5,44.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Voyage of the Rock Aliens,1988,97,NA,3.1,76,24.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
Letters from the East,1996,110,NA,7.1,15,0,0,0,4.5,0,0,4.5,24.5,14.5,45.5,,0,0,0,1,0,0,0
His Highness Abdullah,1990,156,NA,9.5,6,0,0,0,0,0,0,0,14.5,14.5,64.5,,0,0,0,0,0,0,0
"Old Man and the Studio, The",2004,12,15000,7.8,8,0,14.5,0,0,14.5,0,0,14.5,34.5,24.5,,0,0,1,0,0,0,1
Stephen Tobolowsky's Birthday Party,2005,87,NA,8.3,15,4.5,0,0,0,0,0,0,24.5,14.5,45.5,,0,0,0,0,0,0,0
Clown Princes,1939,11,21243,6.5,9,0,0,0,0,24.5,14.5,64.5,0,0,0,,0,0,1,0,0,0,1
Children Shouldn't Play with Dead Things,1972,87,70000,4.4,413,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
Gameui beobjig,1994,110,NA,4.5,8,34.5,0,0,24.5,0,0,34.5,0,0,0,,1,0,0,0,0,0,0
Witchcraft II: The Temptress,1992,88,NA,2.6,57,24.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,0,4.5,,0,0,0,0,0,0,0
Private Property,1960,79,NA,4.8,10,0,14.5,0,0,14.5,24.5,24.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
"Avare, L'",1980,105,NA,6.3,245,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Pink Floyd The Wall,1982,95,NA,7.5,9567,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,0,0
Sherlock Holmes und die sieben Zwerge,1994,85,NA,1.2,7,74.5,14.5,14.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
"Black Windmill, The",1974,106,NA,6,197,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
King Kong Lives,1986,105,NA,3.1,529,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Search for Signs of Inteligent Life in the Universe, The",1991,120,NA,7.1,61,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,34.5,,0,0,0,0,0,0,0
Make Mine Mink,1960,100,NA,6.2,132,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
"Trucido e lo sbirro, Il",1976,90,NA,5.4,28,0,0,0,4.5,4.5,24.5,24.5,14.5,0,24.5,,0,0,0,1,0,0,0
Bikini Island,1991,85,NA,3,133,14.5,4.5,4.5,4.5,4.5,0,4.5,4.5,4.5,45.5,,0,0,0,0,0,0,0
"Last Waltz, The",1978,117,NA,7.8,2314,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,0,1,0,0
Zhao xiansheng,1998,89,NA,6.2,10,0,0,0,0,14.5,24.5,24.5,34.5,14.5,14.5,,0,0,0,0,0,0,0
"Ercole, Sansone, Maciste e Ursus gli invincibili",1964,100,NA,6.3,6,0,0,0,14.5,0,34.5,0,14.5,14.5,14.5,,1,0,1,0,0,0,0
Hitokiri,1969,140,NA,6.3,23,0,0,0,4.5,4.5,4.5,4.5,14.5,34.5,34.5,,1,0,0,1,0,0,0
Termini Station,1989,108,NA,5.8,35,14.5,4.5,0,4.5,14.5,4.5,14.5,4.5,14.5,24.5,,0,0,0,1,0,0,0
Tiffany Jones,1973,90,NA,3.7,26,4.5,4.5,14.5,4.5,24.5,4.5,4.5,0,4.5,14.5,,0,0,1,0,0,0,0
Montenegro,1981,96,NA,6.6,373,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,0,0
Beyond the Poseidon Adventure,1979,114,NA,4.4,956,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
Liam,2000,90,NA,6.9,741,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,4.5,R,0,0,0,1,0,0,0
Sheep Dog,1949,7,NA,5.1,16,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,0,4.5,,0,1,1,0,0,0,1
Festival in Cannes,2001,100,NA,6.4,207,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
"Mortal Storm, The",1940,100,NA,7.8,456,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
Bikini Drive-In,1995,86,NA,3.7,123,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,R,0,0,1,0,0,0,0
Bookies,2003,88,NA,5.5,208,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,0,0
Feelings,1977,93,NA,7.3,5,0,0,0,0,24.5,0,0,44.5,24.5,24.5,,0,0,0,0,0,0,0
Kabale und Liebe,1959,111,NA,7,5,0,0,24.5,0,0,24.5,0,44.5,0,24.5,,0,0,0,0,0,0,0
Battle of the Coral Sea,1959,86,NA,6.5,36,0,0,4.5,4.5,14.5,14.5,34.5,14.5,14.5,4.5,,1,0,0,1,0,1,0
"Car 54, Where Are You?",1994,89,NA,2.3,588,44.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Drive-in Movie Memories,2001,57,225000,8.3,6,0,0,0,0,14.5,0,0,14.5,45.5,14.5,,0,0,0,0,1,0,0
Soleil O,1967,98,NA,8.9,9,0,0,0,0,0,14.5,14.5,14.5,14.5,45.5,,0,0,0,0,1,0,0
Sternenberg,2004,90,NA,6.5,26,0,4.5,4.5,4.5,4.5,24.5,14.5,14.5,14.5,14.5,,0,0,1,0,0,1,0
Balls Bluff,1961,24,NA,1,11,84.5,0,0,0,14.5,0,0,0,0,0,,0,0,0,0,0,0,1
Brooms,1995,16,NA,9.2,11,0,0,0,0,4.5,4.5,0,4.5,4.5,64.5,,0,0,0,0,0,0,1
"Bird's-Eye View of Dock Front, Galveston",1900,1,NA,3.4,8,0,14.5,64.5,24.5,0,0,0,0,0,0,,0,0,0,0,1,0,1
Innerspace,1987,120,NA,6.4,7354,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,,1,0,1,0,0,0,0
"Alien Factor, The",1977,80,NA,4.2,61,24.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Rugrats Go Wild!,2003,81,25000000,4.8,423,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,PG,0,1,1,0,0,0,0
"Lonely Passion of Judith Hearne, The",1987,110,NA,7.2,130,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Takin' It Back to the Streets,1998,135,NA,8.6,15,14.5,0,0,0,0,0,0,4.5,4.5,74.5,,1,0,1,0,0,0,0
"Jester, The",1937,90,NA,6.6,9,14.5,0,0,0,24.5,14.5,14.5,24.5,0,24.5,,0,0,0,0,0,0,0
Rare Exports Inc.,2003,7,NA,7.6,32,0,0,0,0,0,4.5,4.5,14.5,24.5,44.5,,1,0,1,0,0,0,1
Tape,2001,86,NA,7.2,2976,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0,0
Sex Madness,1938,57,NA,2.9,30,4.5,14.5,44.5,14.5,14.5,4.5,0,4.5,4.5,14.5,,0,0,0,1,0,0,0
Encounter at Raven's Gate,1988,94,NA,4.1,62,4.5,4.5,4.5,24.5,14.5,4.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Olympia,1998,76,NA,4,24,4.5,0,14.5,0,0,4.5,14.5,4.5,4.5,44.5,,0,0,0,0,0,0,0
Futter,1996,5,NA,8.3,14,0,0,0,14.5,0,0,4.5,0,44.5,34.5,,0,1,0,0,0,0,1
"Time of Their Lives, The",1946,82,NA,7.7,376,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,,0,0,1,0,0,0,0
Enemy,1996,92,NA,2.7,6,64.5,0,0,0,14.5,0,14.5,0,0,0,,1,0,0,1,0,0,0
Anthony's Desire,1993,90,NA,3.2,37,24.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
"Separation, The",2003,9,NA,7,19,4.5,4.5,0,0,4.5,14.5,14.5,14.5,24.5,14.5,,0,1,0,1,0,0,1
